"Αναγνωριστικό δημοσίευσης","Αναγνωριστικό λογαριασμού","Όνομα χρήστη λογαριασμού","Όνομα λογαριασμού",Περιγραφή,"Διάρκεια (δευτ.)","Χρόνος δημοσίευσης","Μόνιμος σύνδεσμος","Τύπος δημοσίευσης","Σχόλιο δεδομένων",Ημερομηνία,Απήχηση,"Μου αρέσει!",Κοινοποιήσεις,"Πόσοι ακολουθούν",Σχόλια,Αποθηκεύσεις,Προβολές
17853084063212679,17841454056970413,chaniabookfestival,"Chania Book Festival","🎙️Ο Μανώλης Πιμπλής, δημοσιογράφος, μεταφραστής και διευθυντής του Φεστιβάλ Βιβλίου Χανίων, στην εκπομπή «Με τα πόδια μέχρι την αλήθεια» στο 2ο Πρόγραμμα 103.7 συζητά με την Αλεξάνδρα Χριστακάκη για το 3ο Φεστιβάλ Βιβλίου Χανίων. 

👉🏻_LINK IN BIO_
༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #booktok",0,"06/19/2024 00:08",https://www.instagram.com/p/C8Y2p66I8Zg/,"Εικόνα IG",,"Από την αρχή",5,31,0,0,0,0,
18440707819033761,17841454056970413,chaniabookfestival,"Chania Book Festival","Διαφορετικές προσεγγίσεις στο ιστορικό μυθιστόρημα
[Ευρώπη, παρελθόν και μέλλον]

◾Πέμπτη 27 Ιουνίου 2024
◾20:00-21:00
◾Θέατρο Μίκης Θεοδωράκης - Αίθουσα 2

Η περίπτωση της «Νικήτριας σκόνης» και των μυθιστορημάτων «Ένας φόνος στην αυλή της Αμαλίας» και «Τέσσερα χρώματα του καλοκαιριού». Συνομιλούν οι συγγραφείς των βιβλίων, Κώστας Καλτσάς και Τεύκρος Μιχαηλίδης.

ΣΥΝΔΙΟΡΓΑΝΩΣΗ: ΕΚΔΟΣΕΙΣ ΨΥΧΟΓΙΟΣ - PSICHOGIOS PUBLICATIONS

๏

Different approaches to the historical novel
[Europe, past and future]

◾Thu. 27 June 2024
◾20:00-21:00
◾Mikis Theodorakis Theatre - Hall 2

The case of «Nikitrias skonis» (“Winning Dust”) and the novels «Enas fonos stin avli tis Amalias» (“A Murder in Amalia's Court”) and «Tessera chromata tou kalokairiou» (“Four Colours of Summer”). The authors of the books, Kostas Kaltsas and Tefcros Michaelides, will be in conversation.

Co-organized by Psichogios Publishing

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

๏

3rd Chania Book Festival
26-30 June 2024
We connect words, we unite narratives 📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #booktok",6,"06/18/2024 21:26",https://www.instagram.com/reel/C8Yj_TRodXU/,"IG reel",,"Από την αρχή",5,10,0,0,0,0,
18002905280377506,17841454056970413,chaniabookfestival,"Chania Book Festival","Στιγμές που ζήσαμε και μοιραστήκαμε στο 3ο Φεστιβάλ Βιβλίου Χανίων, την Κυριακή 30 Ιουνίου!

༄
3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις
๏
3rd Chania Book Festival
26-30 June 2024
We connect words, we unite narratives 📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",78,"07/05/2024 03:21",https://www.instagram.com/reel/C9CY-6xogd4/,"IG reel",,"Από την αρχή",139,28,0,0,0,1,1659
18273038098237750,17841454056970413,chaniabookfestival,"Chania Book Festival","📰 Δελτίο Τύπου 4.7.2024

Ολοκληρώθηκε η 3η μεγάλη, διεθνής γιορτή του βιβλίου στα Χανιά: Κατάμεστες αίθουσες και θετικά σχόλια

Διαβάστε το δελτίο τύπου:
 --LINK IN BIO--

Δείτε Highlights από φωτογραφικό υλικό:
--LINK IN BIO--

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",10,"07/04/2024 07:42",https://www.instagram.com/reel/C9AR0Knoz51/,"IG reel",,"Από την αρχή",71,26,0,0,0,0,605
18018026075136933,17841454056970413,chaniabookfestival,"Chania Book Festival","🎶Με τον πιο όμορφο τρόπο, μουσικά, έπεσε η αυλαία στο 3ο Φεστιβάλ Βιβλίου Χανίων. Τα ταλαντούχα αδέλφια Καλογεράκη, Μιχάλης και Παντελής Καλογεράκης, μας παρουσίασαν ένα μέρος της προηγούμενης δισκογραφίας τους, καθώς και νέα τους δουλειά, μαζί με τους μουσικούς Λάμπρο Παπανικολάου στο κοντραμπάσο και Ευστράτιο Γκρίντζαλη στο μπουζούκι.

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/04/2024 05:31",https://www.instagram.com/p/C9ADg6vo_vj/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",259,29,0,0,0,0,1252
18273224374239753,17841454056970413,chaniabookfestival,"Chania Book Festival","Πώς μιλάμε για την ευρωπαϊκή λογοτεχνία σε μια Ευρώπη που αλλάζει; 

Στο Θέατρο Μίκης Θεοδωράκης, παρακολουθήσαμε μια ιδιαίτερα ενδιαφέρουσα συζήτηση, την τελευταία στο 3ο Φεστιβάλ Βιβλίου Χανίων, με τους συγγραφείς Χρήστος Αστερίου, Λευτέρης Καλοσπύρος και Γιάννης Δούκας. 

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/04/2024 02:49",https://www.instagram.com/p/C8_w_iyI0wm/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",202,26,0,0,0,0,1168
18272831443226134,17841454056970413,chaniabookfestival,"Chania Book Festival","Ο Λουκάς Τσούκαλης, συγγραφέας, καθηγητής στη Σχολή Διεθνών Υποθέσεων του Παρισιού, ομότιμος καθηγητής του Πανεπιστημίου Αθηνών, πρόεδρος του Ελληνικού Ιδρύματος Ευρωπαϊκής και Εξωτερικής Πολιτικής, με αφορμή το βιβλίο του «Η ενηλικίωση της Ευρώπης» (Εκδόσεις Αλεξάνδρεια), συνομίλησε, στο Θέατρο Μίκης Θεοδωράκης, με τη Λένα Ματσιώρη, ιστορικό και δημοσιογράφο, για τις μεγάλες ευρωπαϊκές προκλήσεις και τη σημασία που έχουν τα αποτελέσματα των Ευρωεκλογών.

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/04/2024 02:43",https://www.instagram.com/p/C8_wUPOIld5/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",179,18,0,0,0,1,1098
17893512578963315,17841454056970413,chaniabookfestival,"Chania Book Festival","Ένα πρωτότυπο τρίωρο εργαστήριο ποιητικής γραφής για γυναίκες κάθε ηλικίας με σκοπό τη διερεύνηση χειραφετητικών πρακτικών μέσα από τον ποιητικό λόγο και την εισαγωγή στον αποκαλυπτικό σε θέματα ταυτότητας όσο και ανεξάντλητο κόσμο των λογοτεχνικών πειραμάτων πραγματοποιήθηκε την Κυριακή 30 Ιουνίου, στο Θέατρο Μίκης Θεοδωράκης, με την επιμέλεια της συγγραφέως Παυλίνας Μάρβιν. 

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/04/2024 02:40",https://www.instagram.com/p/C8_v-hLowM1/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",153,16,0,0,0,0,956
18094348693442171,17841454056970413,chaniabookfestival,"Chania Book Festival","Στο Μεγάλο Αρσενάλι, την Κυριακή 30 Ιουνίου, τρία βιωματικά εργαστήρια αυτοεκτίμησης για παιδιά 12-17 ετών, διάρκειας τριάντα λεπτών το καθένα, λειτούργησαν ταυτόχρονα, με την επιμέλεια της εκπαιδευτικού, συνεργάτιδας του Δημάρχου Χανίων σε θέματα Παιδείας και συγγραφέως Άννας Νεμπαυλάκη.

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/04/2024 02:31",https://www.instagram.com/p/C8_u-7yIkwI/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",132,19,0,0,0,1,1007
18052934845668555,17841454056970413,chaniabookfestival,"Chania Book Festival","Οι συγγραφείς Ιάκωβος Ανυφαντάκης και Γιάννης Νικολούδης συνομίλησαν για τους δύο διαφορετικούς κρητικούς κόσμους που παρουσιάζονται στα μυθιστορήματά τους «Ραδιοκασετόφωνο» και «Άδειος τόπος»: από τη μια η αστικοποιημένη, κοσμοπολίτικη ζωή και από την άλλη η φανερή και υπόγεια δύναμη της «ρίζας», η βία της ερημιάς. 

ΣΥΝΔΙΟΡΓΑΝΩΣΗ: Εκδόσεις Πατάκη

༄

3° Φεστιβάλ Βιβλίου Χανίων
26-30 Ιουνίου 2024
Συνδέουμε λέξεις, ενώνουμε αφηγήσεις📖

#chaniabookfestival #chaniabookfest24 #creteregion #περιφερεια_κρητης #chaniacrete #chania #crete #dmsclab #dmcteam #cdmuowm #bookfestival #books #bookstagram #BookTok",0,"07/04/2024 02:01",https://www.instagram.com/p/C8_reNWoI6K/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",187,18,0,0,0,0,1343
