"Αναγνωριστικό δημοσίευσης","Αναγνωριστικό λογαριασμού","Όνομα χρήστη λογαριασμού","Όνομα λογαριασμού",Περιγραφή,"Διάρκεια (δευτ.)","Χρόνος δημοσίευσης","Μόνιμος σύνδεσμος","Τύπος δημοσίευσης","Σχόλιο δεδομένων",Ημερομηνία,Προβολές,Απήχηση,"Μου αρέσει!",Κοινοποιήσεις,"Πόσοι ακολουθούν",Σχόλια,Αποθηκεύσεις
17936904450021578,17841454056970413,chaniabookfestival,"Chania Book Festival","Το Φεστιβάλ Βιβλίου Χανίων είναι έτοιμο να σας υποδεχτεί! 
Οι εναρκτήριες εκδηλώσεις ξεκινούν από τις 18:00. 

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",19,"06/24/2025 06:58",https://www.instagram.com/reel/DLSTrUYMxhq/,"IG reel",,"Από την αρχή",2680,1749,69,6,2,2,0
18064008890128270,17841454056970413,chaniabookfestival,"Chania Book Festival","Το 4ο Φεστιβάλ Βιβλίου Χανίων είναι εδώ!
Μετράμε αντίστροφα για την επίσημη έναρξη! 

Από την 🔺ΤΡΙΤΗ 24 ΙΟΥΝΙΟΥ🔺
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

༄

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"06/24/2025 00:57",https://www.instagram.com/p/DLRqa6DON-f/,"Εικόνα IG",,"Από την αρχή",2487,1121,56,0,0,0,1
18079214755895206,17841454056970413,chaniabookfestival,"Chania Book Festival","📖 Ολοκληρώθηκε η 4η μεγάλη, διεθνής γιορτή του βιβλίου στα Χανιά!

Με αθρόα προσέλευση κόσμου και θετικά σχόλια, το φετινό φεστιβάλ αποτέλεσε μια ξεχωριστή γιορτή του βιβλίου και των ιδεών.

Βρείτε το Δελτίο Τύπου:
🔗 Link στο Bio

#chaniabookfestival #chaniabookfest25 #bookstagram",0,"07/09/2025 04:44",https://www.instagram.com/p/DL4sTY3uiKl/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",3124,1088,51,2,2,0,2
18072309533508831,17841454056970413,chaniabookfestival,"Chania Book Festival","🎥 Όμορφα στιγμιότυπα, αξέχαστες στιγμές από την τελευταία μέρα του 4ου Φεστιβάλ Βιβλίου Χανίων!

༄

4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",62,"07/02/2025 04:48",https://www.instagram.com/reel/DLmqPEDoyBr/,"IG reel",,"Από την αρχή",1231,846,50,2,0,1,1
17896427571124530,17841454056970413,chaniabookfestival,"Chania Book Festival","🎼 «Μια μουσική γέφυρα Ελλάδας-Τουρκίας» 
με τιμώμενο προσκεκλημένο τον Ζουλφί Λιβανελί

Το 4ο Φεστιβάλ Βιβλίου Χανίων έριξε την αυλαία του με μια ξεχωριστή μουσική βραδιά αφιερωμένη στη βαθιά φιλία και καλλιτεχνική συνάντηση δύο εμβληματικών δημιουργών: του Μίκη Θεοδωράκη και του Ζουλφί Λιβανελί.

Στο κατάμεστο Θέατρο Μίκης Θεοδωράκης ερμήνευσε η Ιωάννα Φόρτη. Συμμετείχε ο Ηρακλής Ζάκκας στο μπουζούκι, ο Αλέξανδρος Καψοκαβάδης στην κιθάρα και ο Αχιλλέας Γουάστωρ στο πιάνο, ο οποίος έχει και την καλλιτεχνική επιμέλεια του προγράμματος. 

Ο Ζουλφί Λιβανελί συναντήθηκε διαδικτυακά με το κοινό και χαιρετισμό απηύθυνε ο αντιδήμαρχος Πολιτισμού του Δήμου Χανίων, Γιάννης Γιαννακάκης, καθώς και ο πρόεδρος του Παγκρήτιου Συλλόγου Φίλων Μίκη Θεοδωράκη, Γιώργος Αγοραστάκης.

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/02/2025 02:18",https://www.instagram.com/p/DLmaA23uJIX/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",1429,440,20,2,0,0,1
18057603623521259,17841454056970413,chaniabookfestival,"Chania Book Festival","📖 «Η δεσμοφύλακας» του Νίκου Δαββέτα 

Ο διακεκριμένος συγγραφέας Νίκος Δαββέτας συνομίλησε με τη φιλόλογο Μαρίνα Αρετάκη για το νέο του βιβλίο «Η δεσμοφύλακας». 

Συνδιοργάνωση: Εκδόσεις Πατάκη

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/02/2025 01:17",https://www.instagram.com/p/DLmTDfCOlLk/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",2430,858,22,2,0,0,0
18099614764566105,17841454056970413,chaniabookfestival,"Chania Book Festival","🐅 O Ζουλφί Λιβανελί στο 4o Φεστιβάλ Βιβλίου Χανίων! 

Ο γνωστότερος και πιο δηµοφιλής µουσικοσυνθέτης στη χώρα του αλλά και σε ολόκληρο τον κόσµο, πολυμεταφρασμένος και βραβευμένος συγγραφέας Ζουλφί Λιβανελί συνομίλησε διαδικτυακά με την δημοσιογράφο και μέλος της οργανωτικής ομάδας του Φεστιβάλ Βιβλίου Χανίων, Κυριακή Μπεϊόγλου για το συγγραφικό του έργο και το πιο πρόσφατο βιβλίο του, «Στη ράχη της τίγρης». 

Συνδιοργάνωση: Εκδόσεις Πατάκη

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 14:15",https://www.instagram.com/p/DLlHTRqOR8y/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",2359,901,25,2,0,0,0
17936731295914499,17841454056970413,chaniabookfestival,"Chania Book Festival","📖 «Το παιδί του διαβόλου» του Πέτρου Τατσόπουλου 

Ο πεζογράφος Πέτρος Τατσόπουλος συνομίλησε για το πρόσφατο βιβλίο του «Το παιδί του διαβόλου» με την Ελένη Μπούρα, υπευθυνη ελληνικής λογοτεχνίας των εκδόσεων Μεταίχμιο.

Συνδιοργάνωση: Εκδόσεις Μεταίχμιο

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 14:01",https://www.instagram.com/p/DLlFpGNOJJE/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",957,271,12,1,0,0,0
17875152558368136,17841454056970413,chaniabookfestival,"Chania Book Festival","💥🕊️ «Ειρήνη, πόλεμος, πολιτική, συνωμοσίες: Οι Έλληνες αξιωματικοί (1935-1945)» του Τάσου Σακελλαρόπουλου

Ο ιστορικός και υπεύθυνος των ιστορικών αρχείων του Μουσείου Μπενάκη, Τάσος Σακελλαρόπουλος συνομιλεί για το νέο του βιβλίο με τον ιστορικό και σύμβουλο πολιτικής ανάλυσης Γιάννη Χαραλαμπίδη.

Συνδιοργάνωση: Εκδόσεις Πατάκη

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 13:12",https://www.instagram.com/p/DLlABGuOBlq/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",2606,961,32,2,0,0,0
17979458807850532,17841454056970413,chaniabookfestival,"Chania Book Festival","🔭 Ο Μιγκέλ Μπονφουά στο 4ο Φεστιβάλ Βιβλίου Χανίων! 

O Γάλλος συγγραφέας με καταγωγή από τη Βενεζουέλα, που έχει μεταφραστεί σε είκοσι γλώσσες, Μιγκέλ Μπονφουά συνομίλησε με τον συγγραφέα, μεταφραστή και εκδότη Παναγιώτη Κεχαγιά για το βιβλίο του «Ο εφευρέτης» που κυκλοφόρησε πρόσφατα στα ελληνικά.

Συνδιοργάνωση: Εκδόσεις Στερέωμα

༄
4° Φεστιβάλ Βιβλίου Χανίων
25–29 Ιουνίου 2025
Διαβάζουμε. Συζητάμε. Συνδεόμαστε.

Το 4° Φεστιβάλ Βιβλίου Χανίων πραγματοποιείται από τον Δήμο Χανίων σε συνδιοργάνωση με την Περιφέρεια Κρήτης και με τη σύμπραξη πολιτιστικών οργανισμών και φορέων, καθώς και βιβλιοπωλείων της πόλης.

#chaniabookfestival #chaniabookfest25 #chania #creteregion #περιφερεια_κρητης #chaniacrete #crete #dmsclab #dmcteam #cdmuowm #bookfestival #bookstagram",0,"07/01/2025 12:39",https://www.instagram.com/p/DLk8SWEufZT/,"Εναλλασσόμενες εικόνες IG",,"Από την αρχή",1185,326,18,2,0,0,1
